date,meter_location_en,equipment_name_en,shift_label,interval_energy_kwh,energy_day_kwh,energy_night_kwh
2021-02-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,15.821697999997488,0.0,15.821697999997488
2021-02-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.1310439999999808,0.1310439999999808,0.0
2021-02-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.3844000000000805,0.0,0.3844000000000805
2021-02-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,29.702337000003276,29.702337000003276,0.0
2021-02-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,18.032348999997488,0.0,18.032348999997488
2021-02-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.7072810000005277,0.7072810000005277,0.0
2021-02-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.0082809999999711,0.0,0.0082809999999711
2021-02-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,25.8278210000012,25.8278210000012,0.0
2021-02-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,18.39998699999674,0.0,18.39998699999674
2021-02-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.5026809999994706,0.5026809999994706,0.0
2021-02-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.4212010000001579,0.0,0.4212010000001579
2021-02-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,20.32092600000387,20.32092600000387,0.0
2021-02-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,17.790507000001888,0.0,17.790507000001888
2021-02-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.6320249999994548,0.6320249999994548,0.0
2021-02-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.4057690000002812,0.0,0.4057690000002812
2021-02-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,22.767290000000802,22.767290000000802,0.0
2021-02-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,15.592977999997363,0.0,15.592977999997363
2021-02-13,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.24010000000009946,0.24010000000009946,0.0
2021-02-13,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.2981159999999295,0.0,0.2981159999999295
2021-02-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,23.407333000002357,23.407333000002357,0.0
2021-02-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,17.35508600000518,0.0,17.35508600000518
2021-02-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.0,0.0,0.0
2021-02-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.0,0.0,0.0
2021-02-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,30.51840999999044,30.51840999999044,0.0
2021-02-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,22.35958300000223,0.0,22.35958300000223
