date,meter_location_en,equipment_name_en,period_std,interval_energy_kwh
2021-02-18,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.6072049999997717
2021-02-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,25.47835099998881
2021-02-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,13.380082000000034
2021-02-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.433506000002376
2021-02-19,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.6769250000001941
2021-02-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,30.65275500000899
2021-02-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.462944000001016
2021-02-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.2666419999979768
2021-02-20,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.16333600000020101
2021-02-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,28.016750999995175
2021-02-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.885416000000287
2021-02-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.7181050000010223
2021-02-21,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-02-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,31.02718600001557
2021-02-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,5.673699999993981
2021-02-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.0
2021-02-22,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.06473799999990534
2021-02-22,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,8.74061800000413
2021-02-22,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,6.565828000002231
2021-02-22,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.6558819999993358
2021-02-23,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.4805799999991647
2021-02-23,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,19.49644300000986
2021-02-23,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,7.2780769999981825
2021-02-23,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,3.3085519999996995
2021-02-24,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.36577999999998223
2021-02-24,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,30.97195500000209
2021-02-24,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.1900370000003
