date,meter_location_en,equipment_name_en,energy_kwh
2021-04-30,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.14833676509999807
2021-04-30,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.014914000000224
2021-04-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,47.66207699999144
2021-05-01,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.23980619730000044
2021-05-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.087056999999923
2021-05-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,47.733609000005536
2021-05-02,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.3018967934
2021-05-02,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-05-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,71.58603200000985
2021-05-03,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.1775418833999995
2021-05-03,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.9018129999985571
2021-05-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,53.09178899998628
2021-05-04,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.17789867380000216
2021-05-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.06502500000005929
2021-05-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,48.344696000009876
2021-05-05,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.22636900069999774
2021-05-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.9610249999983236
2021-05-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.44740099999667
2021-05-06,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.15071773929999988
2021-05-06,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.3370760000013495
2021-05-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,49.2608609999904
2021-05-07,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.18053852779999802
2021-05-07,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.13129999999961534
2021-05-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,50.69224999998216
2021-05-08,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.15016187979999893
2021-05-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.48283600000010096
2021-05-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,49.88142900000782
2021-05-09,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.22563546409999805
2021-05-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-05-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,54.73577200000113
2021-05-10,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.20280078249999922
2021-05-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
